fitness_gm,dAF,state
1.006124904203725,-0.00012000103058939101,fixed
1.0014235522870518,-0.001290212336860523,lost
1.0058048508279167,-0.00036317535051211405,fixed
1.0034973167682106,-0.00013944403324243516,fixed
1.0021850596443833,-0.00013337360492585233,fixed
1.0024202111631488,-0.0008117875890487174,lost
1.000775179807292,-0.0024463671447551008,lost
1.0017584138735247,-0.00035724819634916247,lost
1.0004673159218258,-0.0003978664063150607,lost
1.0009830620623024,-0.0006263346035485322,lost
1.004398931615225,-0.0003088575669398417,lost
1.002405666625723,-0.0004945860765395569,lost
1.0029219190737526,-0.0019509248240082403,lost
1.0032471033060082,-0.00014363877726361135,lost
1.0011219251206476,-0.00024590140376037054,lost
1.003291964577252,-0.0008769109589833034,lost
1.002380179564304,-0.0005418003380394815,fixed
1.00196999470501,-0.000877968259006,lost
1.0004991307012803,-0.000539969563513833,lost
1.0072782199318673,-0.00010422952354365787,fixed
1.001744999641861,-0.00024003396529979288,fixed
1.006671704753544,-3.2458433307349094e-05,fixed
1.001693328747631,-0.0011975361411122086,lost
1.0033752351325909,-1.7235011213934576e-05,fixed
1.0001155341642294,-0.0007304744845248012,lost
1.0084096991358575,-0.000843463393738996,lost
1.0067704398495896,-0.00011158597387799253,fixed
1.008647754640123,-2.5540241569838636e-05,fixed
1.010305226304989,-0.0006616857711618683,lost
1.0014026030200445,-0.0008805814777856991,lost
1.0010144522920201,-0.0005067564164224028,lost
1.0026796797017825,-0.00025495649635848093,lost
1.0025018932835164,-0.0013372679059288856,lost
1.0006420254027595,-0.00048326271983950125,fixed
1.0026640892868428,-6.222146546840968e-05,fixed
1.0090977587227445,-0.0024461149753574915,lost
1.0005267142442877,-0.0004618040163648125,lost
1.003320637831813,-3.371539876457029e-05,fixed
1.0057735940439714,-0.002120313863007782,lost
1.009785136971222,-0.0006336145050955837,lost
1.001697349542463,-0.0003492362105624612,lost
1.0036444179224846,-0.0013005818516066414,lost
1.0040736379178161,-0.001250670549254481,lost
1.0024948764441748,-0.0002639445717898574,fixed
1.0024354713431984,-0.00011968863722658484,fixed
1.0004475657605645,-0.00039920220599790827,lost
1.0082893806473434,-0.0026468882513576856,lost
1.0005125516312492,-0.0009249013343247883,lost
1.0010714745157878,-0.0019999818664429674,lost
1.0030510892300137,-0.0013060172860078214,lost
1.0011426175786118,-0.0001754194601747158,lost
1.0036523983930339,-0.0017624957539236665,lost
1.00921291901889,-3.1551390480756584e-07,fixed
1.000376791046198,-0.0012488757483936463,lost
1.0035805265678988,-0.0007346179997971564,lost
1.0011594580329464,-0.00012619607592899442,fixed
1.0021202485504934,-0.0013373208168317896,lost
1.0021202485504934,-0.0010454706302951001,lost
1.0033062390387821,-0.00030864959606946574,lost
1.0036210981087088,-0.00023615492700353245,fixed
1.0039050472017428,-0.0004869974972149435,lost
1.0032034482900718,-6.618568718436477e-05,fixed
1.001621733958127,-0.00014102864352756185,lost
1.0012813793034983,-0.0005941934152077188,lost
1.0050289280768565,-0.0001196879302306199,fixed
1.0030510892300137,-0.0018854466042048787,lost
1.0098039066155378,-0.00023205280717443247,fixed
1.0025246148145777,-0.0015361217488148319,lost
1.0019603473254683,-0.0014957917056628073,lost
1.0022319650239842,-0.0011808233055907319,lost
1.0020741084238045,-0.004578203782498247,lost
1.0013560396312755,-0.0004550310046320661,lost
1.0065352673681736,-4.779291219369722e-05,fixed
1.0010537059164708,-0.00017083563352277898,fixed
1.002365856541485,-0.002263312513495601,lost
1.0087022077660357,-0.0021512495281918583,lost
1.0091184823332606,-0.0004661248930029732,lost
1.0008911461789807,-0.0011300125739130708,lost
1.0075167671015388,-0.00019965258135111206,fixed
1.0006761872335987,-0.00029562370575405016,fixed
1.0013889760621981,-0.0011384381924704199,lost
1.0019004126590185,-0.0007287304742894744,lost
1.001993540460726,-0.0008278731082669099,lost
1.0081775428121502,-0.0005917006330931289,lost
1.0003466425386598,-0.0008820375656976331,lost
1.0043851037890117,-0.00037974166549185456,lost
1.0044601979745276,-3.8942226405965184e-05,fixed
1.001018064279586,-0.0009557997510316386,lost
1.0012548680020077,-4.8838876241195415e-05,fixed
1.0012631836326962,-0.0005900417695751212,lost
1.0023436939516395,-0.0010918230229975269,lost
1.006254725016074,-0.003914561741989404,lost
1.006167988038155,-0.0010826539422115547,lost
1.0040516479959938,-4.184355103146546e-05,fixed
1.0005619073971206,-0.0005856931749891843,fixed
1.002483268769446,-0.00020280406165038993,lost
1.0002049891360136,-0.00106404159897469,lost
1.000474292440134,-0.0008629208065116154,lost
1.0006313924881112,-6.281180902854883e-05,fixed
1.0005708825309874,-0.0022045374506297548,lost
1.000783678256324,-0.0010170666301290647,lost
1.0083955890224727,-0.0002210369007723343,fixed
1.0055892566609037,-0.0009739022395017182,lost
1.0134509004078038,-4.8142626205670455e-06,fixed
1.0011489749859197,-0.0010867098872976491,lost
1.00612018696879,-6.220947884551704e-05,fixed
1.012585302341214,-0.00016017542292658988,fixed
1.0133963973768487,-0.0007176248008514775,lost
1.0051119200134189,-0.00021917489360219478,lost
1.0029738761105174,-6.241413945391813e-05,fixed
1.000996770101942,-0.0005903046746583088,lost
1.0005510776823667,-0.000513196359305154,lost
1.0040706638428496,-0.0010685781621715782,lost
1.000376791046198,-0.000899527144677624,lost
1.0046913808455382,-4.083029417642263e-05,fixed
1.003536244470606,-4.2491012274304664e-05,fixed
1.0017344147203968,-0.0003564305040071964,lost
1.0001723659921975,-4.4038377262050424e-05,lost
1.0033470141201148,-9.02614498319267e-07,fixed
1.0016883294632917,-0.0002984871880088071,lost
1.0008438087250637,-0.000379577488124369,fixed
1.0017034166652148,-7.010218784343307e-05,lost
