fG,fE,AF,Ngen,drift,fG_EAF,fE_EAF
1.018273895162555,1.0088152089271507,0.5,200,-0.4388262737147713,0.9739612785871985,0.9388262737147761
1.0028633971066874,1.0083254410847724,0.9,200,-0.014546413367916788,0.6391924983790718,0.9145464133679209
1.0124674014429897,1.0082218093722282,0.9,200,-0.009407433673781496,0.922589693903043,0.9094074336737885
0.9961948508057158,0.995350530481898,0.1,200,-0.1669848256196344,0.31810776168273736,0.2669848256196333
1.0028633971066874,0.9994775661190389,0.3,200,-0.17387148074008785,0.6391924983790718,0.4738714807400861
1.004776882087206,1.0056915360983194,0.8,200,0.01623073658718041,0.721738546625803,0.7837692634128165
0.9924041807718224,0.9931917938026665,0.5,200,0.34157305977788055,0.17873187277908237,0.15842694022211573
0.9971447785262196,0.9975572329538369,0.5,200,0.12228771250527676,0.3608075016209296,0.3777122874947164
0.9924041807718224,0.9929675182243746,0.1,200,-0.047135153417305425,0.17873187277908237,0.14713515341730254
0.9990473522592098,1.0017773537302859,0.6,200,0.01121121802213005,0.45248868778280893,0.5887887819778655
0.9858051830939256,0.9888194037117561,0.3,200,0.3621725264434491,0.05420229801625778,-0.062172526443446174
1.0057349932563653,1.0046316439699683,0.9,200,0.1689528655351499,0.7583623760108806,0.7310471344648533
1.0,0.994694815300079,0.2,200,-0.03403526899312345,0.5,0.23403526899312044
1.007653957304241,1.0077986909917607,0.9,200,0.011580034056673683,0.821268127220919,0.8884199659433224
0.9924041807718224,0.993648321667071,0.2,200,0.01859572542953644,0.17873187277908237,0.1814042745704605
0.9914587691710592,0.9925368295182808,0.1,200,-0.025443787479527857,0.15244094585509876,0.12544378747952717
0.9867452036829498,0.9916948656702788,0.1,200,0.016988288360442153,0.0648466645696161,0.08301171163956089
0.9839278275882444,0.9905973064303757,0.1,200,0.07235538495154498,0.037668089335253944,0.027644615048453836
0.9792500654915027,0.9891061033867772,0.1,200,0.14767800443999005,0.014866776715252963,-0.047678004439993704
0.9980956120561375,1.003137017515876,0.6,200,-0.05660523910472309,0.4058276855647079,0.6566052391047267
1.009576582776887,1.0059589748210158,0.9,200,0.10293635633563022,0.8705920405619313,0.7970636436643732
1.0028633971066874,1.0021701492275945,0.6,200,-0.008389850304768777,0.6391924983790718,0.6083898503047664
0.9990473522592098,0.9987710669862664,0.3,200,-0.138515569189895,0.45248868778280893,0.43851556918989276
1.010539270730128,1.0089028746361641,0.8,200,-0.143170983951952,0.8905941006470454,0.9431709839519514
0.9924041807718224,0.9986203384391499,0.3,200,-0.13096930245753638,0.17873187277908237,0.43096930245753495
1.009576582776887,1.0076341933133588,0.8,200,-0.08025818342729812,0.8705920405619313,0.8802581834273044
1.0028633971066874,1.004034137194101,0.8,200,0.09869917786184285,0.6391924983790718,0.7013008221381577
1.0163347066330575,1.0095133210640992,0.9,200,-0.07341418264705357,0.9623319106647453,0.9734141826470497
1.0066940180383166,1.0068776190861053,0.8,200,-0.04270246579545327,0.7915580308739193,0.8427024657954594
1.0115028766603813,1.012246439240283,0.8,200,-0.3085953987279307,0.9078318305270543,1.108595398727932
1.0019080215571126,0.999508697839813,0.3,200,-0.1754288560626065,0.5941723144352956,0.47542885606260255
1.0028633971066874,0.9994593095550935,0.7,200,0.22704183287564134,0.6391924983790718,0.4729581671243529
1.0019080215571126,1.002780936901081,0.7,200,0.061146226736918934,0.5941723144352956,0.6388537732630863
0.9961948508057158,0.9952237624164058,0.1,200,-0.1606164444528326,0.31810776168273736,0.2606164444528384
0.9914587691710594,0.9974528771896133,0.3,200,-0.07248145678557574,0.15244094585510165,0.37248145678557987
1.0192448764914566,1.0121198799530406,0.9,200,-0.2023438301958142,0.978382704440061,1.1023438301958184
0.9839278275882444,0.9889574769658133,0.1,200,0.15519150922382705,0.037668089335253944,-0.055191509223831314
1.0115028766603813,1.0087649109607828,0.8,200,-0.13633333661680408,0.9078318305270543,0.9363333366168063
0.9924041807718224,0.9969373253712243,0.5,200,0.153368590484251,0.17873187277908237,0.34663140951574933
0.9924041807718224,0.9920149121276801,0.2,200,0.10085482411328517,0.17873187277908237,0.09914517588671184
1.0115028766603813,1.0081716219481258,0.8,200,-0.10691850531174024,0.9078318305270543,0.906918505311739
0.9924041807718224,0.9977705624523612,0.6,200,0.21159627584571664,0.17873187277908237,0.38840372415428526
0.9942977093421035,0.9965210882410123,0.2,200,-0.12575131414951415,0.24163762398911556,0.3257513141495165
0.9952458280317089,0.9965769123629789,0.1,200,-0.22855217768846817,0.2782614533742029,0.3285521776884681
0.9886279348029542,0.9953335717864438,0.4,200,0.13386707263078915,0.09216816947294666,0.2661329273692155
0.9914587691710592,0.995408799489219,0.6,200,0.33008821610670486,0.15244094585509876,0.2699117838932936
1.0038196836604873,1.003450733199638,0.6,200,-0.07223948372950435,0.6818922383172635,0.6722394837295065
0.9990473522592098,0.9944044028341525,0.2,200,-0.019435177845782456,0.45248868778280893,0.21943517784578592
1.0019080215571126,0.9992032756090384,0.4,200,-0.06014790488382187,0.5941723144352956,0.4601479048838166
1.004776882087206,1.0070321881566127,0.9,200,0.04962255223861349,0.721738546625803,0.8503774477613872
1.00861481192615,1.0106807873906838,0.8,200,-0.23120253884479003,0.8475590541449031,1.031202538844793
0.9905142582145218,0.9907455340240259,0.3,200,0.2648743808691374,0.12940795943806774,0.03512561913086609
1.0143992110708167,1.0115205879299065,0.9,200,-0.17273030159549982,0.9457977019837434,1.0727303015954992
0.9924041807718224,0.994948022054434,0.1,200,-0.14676142487344976,0.17873187277908237,0.2467614248734471
